grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2014/1094,ROS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/ROS/48 JRO to Colombia&Dominican Republic,187674,2014,Return Operations,Return Operations Sector
2013/12,ROS,Spain,Cuerpo Nacional de Policia,"'C/ General Pardinas 90, 28006 Madrid, Spain",2013/ROS/09 JRO to Colombia,311614.48,2013,Return Operations,Return Operations Sector
2013/64,ABS,Spain,Cuerpo Nacional de Policia,"'C/ General Pardinas 90, 28006 Madrid, Spain",2013/ABS/03 JO Focal Points 2013 Air,7047,2013,Focal Points,Air Border Sector
2013/72,ABS,Spain,Cuerpo Nacional de Policia,"'C/ General Pardinas 90, 28006 Madrid, Spain",2013/ABS/03 JO Focal Points 2013 Air,15622,2013,Focal Points,Air Border Sector
2013/73,FSC,Spain,Cuerpo Nacional de Policia,"'C/ General Pardinas 90, 28006 Madrid, Spain",2013/FSC/04 FSC Support Officer Deployment,12739.03,2013,FSC Support Officer Deployment,Frontex Situation Centre
2013/74,FSC,Spain,Guardia Civil,"C/ Guzman El Bueno, 110, 28003 Madrid, Spain",2013/FSC/04 FSC Support Officer Deployment,25767.74,2013,FSC Support Officer Deployment,Frontex Situation Centre
2013/91,LBS,Spain,Guardia Civil,"C/ Guzman El Bueno, 110, 28003 Madrid, Spain",2013/LBS/04 JO Focal Points 2013 Land,12324.17,2013,Focal Points,Land Borders Sector
2013/123,ABS,Spain,Cuerpo Nacional de Policia,"'C/ General Pardinas 90, 28006 Madrid, Spain",2013/ABS/06 JO Flexi Force 2013 Mizar Operational Module,20372.8,2013,JO Flexi Force 2013 Mizar Operational Module,Air Border Sector
2013/151,ROS,Spain,Cuerpo Nacional de Policia,"'C/ General Pardinas 90, 28006 Madrid, Spain",2013/ROS/01 Attica,7714.7,2013,Attica,Return Operations Sector
2013/180,ROS,Spain,Cuerpo Nacional de Policia,"'C/ General Pardinas 90, 28006 Madrid, Spain",2013/ROS/14 JRO to Serbia,11206.5,2013,Return Operations,Return Operations Sector
