grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2012/906,ABS,Estonia,Police and Border Guard Board,NA,2012/ABS/03 JO Focal Points 2012,9500.7,2012,Focal Points (Air),Air Border Sector
2012/919,LBS,Estonia,Police and Border Guard Board,NA,2012/LBS/06 JO Poseidon Land 2012,19340.42,2012,Poseidon,Land Borders Sector
2012/922,LBS,Estonia,Police and Border Guard Board,NA,2012/LBS/05 Coordination Points,6168.2,2012,Coordination Points,Land Borders Sector
2012/956,LBS,Estonia,Police and Border Guard Board,NA,2012/LBS/06 JO Poseidon Land 2012,8546.48,2012,Poseidon,Land Borders Sector
2012/976,ROS,Estonia,Police and Border Guard Board,NA,2012/ROS/02 Attica 2012,10188.75,2012,Attica,Return Operations Sector
2012/978,LBS,Estonia,Police and Border Guard Board,NA,2012/LBS/06 JO Poseidon Land 2012,19147.82,2012,Poseidon,Land Borders Sector
2011/49/,LBS,Estonia,Police and Border Guard Board,NA,2011/LBS/02 JO Poseidon Land 2011,19778.4,2011,Poseidon,Land Borders Sector
2011/89/,ABS,Estonia,Police and Border Guard Board,NA,2011/ABS/02 HUBBLE 2011,4654.14,2011,Hubble,Air Border Sector
2011/124/,LBS,Estonia,Police and Border Guard Board,NA,2011/LBS/01 JO Focal Points 2011 Land,9722.03,2011,Focal Points (Land),Land Borders Sector
2011/130/,LBS,Estonia,Police and Border Guard Board,NA,2011/LBS/02 JO Poseidon Land 2011,31321.82,2011,Poseidon,Land Borders Sector
2011/138/,LBS,Estonia,Police and Border Guard Board,NA,2011/LBS/02 JO Poseidon Land 2011,24622.88,2011,Poseidon,Land Borders Sector
2011/165/,ROS,Estonia,Police and Border Guard Board,NA,2011/ROS/01 Attica 2011,6714.44,2011,Attica,Return Operations Sector
2011/213/,PRU,Estonia,Police and Border Guard Board,NA,2010/PRU/09 - 2011/LBS/02 Rabit-Poseidon Land 2011,216454.41,2011,Poseidon,Pooled Resources Unit
2011/231/,LBS,Estonia,Police and Border Guard Board,NA,2011/LBS/02 JO Poseidon Land 2011,22912.65,2011,Poseidon,Land Borders Sector
