grant_no,unit_sector,beneficiary,address,project,eur,year,country,project_clean,unit_sector_long
2019/187,ECRET,Immigration and Asylum Office,"1117 Budapest, Budafoki str. 60, Hungary",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,29344,2019,Hungary,FOA,European Centre for Returns
2019/286,ECRET,National Directorate-General for Aliens Policing,"1117 Budapest, Budafoki str. 60, Hungary",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,34277,2019,Hungary,FOA,European Centre for Returns
2019/297,TRU,Law Enforcement School of Szeged,"Bajai ut 14, 6728 Szeged, Hungary",2019/CFP/TRU/01 4 essential Schengen compatible trainings delivery in the Western Balkan based on CCC and SQF,56999.22,2019,Hungary,4 essential Schengen compatible trainings delivery in the Western Balkan based on CCC and SQF,Training Unit
2019/298,TRU,Law Enforcement School of Szeged,"Bajai ut 14, 6728 Szeged, Hungary",2019/CFP/TRU/01 Staff mobility programme for best practice exchange between Hungarian and Romanian law enforcement - border guard - training institutions,56999.22,2019,Hungary,Staff mobility programme for best practice exchange between Hungarian and Romanian law enforcement - border guard - training institutions,Training Unit
2018/13,ORD,Hungarian National Police,"4-6. Teve utca, Budapest1139, Hungary",2018/ORD/01 Human Resources,552945,2018,Hungary,Human Resources,Operational Response Division
2018/95,RSU,Immigration and Asylum Office,"1117 Budapest, Budafokistr. 60, Hungary",2018/RSU/01 RO,191463,2018,Hungary,Return Operations,Return Support Unit
2018/139,FSC,Hungarian National Police,"4-6. Teve utca, Budapest1139, Hungary",2018/FSC/GA FSC FIMO Deployment,16691,2018,Hungary,FIMO Deployment,Frontex Situation Centre
2018/213,ECRET,Immigration and Asylum Office,"1117 Budapest, Budafokistr. 60, Hungary",2018/ECRet/01,51089.88,2018,Hungary,European Centre for Returns,European Centre for Returns
2018/298,ORD,Hungarian National Police,"4-6. Teve utca, Budapest1139, Hungary",2018/ORD/01 Technical Equipment,188567,2018,Hungary,Technical Equipment,Operational Response Division
2018/322,ECRET,Immigration and Asylum Office,"1117 Budapest, Budafokistr. 60, Hungary",2018/ECRet/01-FOA- R-2018 including return and pre-return activities,49816,2018,Hungary,FOA,European Centre for Returns
